run_id,count,improve_n,worse_n,0504_plus_candidate_oracle_mean,base_mean_on_improved,cand_mean_on_improved
20260510T025423_238291/20260510-01,240,73,69,-0.04667881019653167,0.46170798504016314,0.004316943890439646
20260501T034519_627934/20260429-2,240,68,72,-0.03931041215891648,0.27302744320364897,-0.1919891814272653
20260429T155141_962595/20260429-1,240,70,71,-0.022922057807332783,0.46718840011920154,0.07164660825460041
20260427T232937_696372/20260427-1,240,60,78,-0.02238333692333009,0.48563866250763227,0.02632812220160831
20260513T152336_096398/20260514-1,50,27,23,0.02405359400709912,0.44546335012292,-0.16245402006442908
20260411T101357_046173/20260410-02,240,38,108,0.03787832364514044,0.4995952623607216,0.15496805494155036
20260508T214750_473411/20260508-full240-0504-backbone-neh-adaptive-cp-2nc,107,27,33,0.04149407492319844,0.27866701770203706,-0.1742238554533181
20260514T084607_028368/20260514-2,50,24,26,0.04590072160881244,0.5377567777306868,0.07232101228705216
20260502T165452_512420/20260502-01,133,26,49,0.05266342546955039,0.16838096577281592,-0.19882708976834246
20260511T113311_435296/20260511-01,69,18,19,0.06620706307026071,0.27207885044881747,-0.07775095065671822
20260506T092516_756685/20260506-01,15,10,5,0.06740567514721277,1.6521556976507927,1.0512287455076779
20260512T113404_464922/20260512-delayonly,12,9,3,0.06759023848356491,1.670128407986478,1.0073534834635185
20260424T082903_591120/20260423-02-2nc,113,20,48,0.0725872559927975,0.25920750998817554,0.020923004063634613
20260504T021119_815294/20260502-01,52,15,15,0.07334775901630557,0.5890029753575092,0.28345834916758417
20260514T015939_540922/20260514-2,23,9,14,0.07414210971796,0.15404523496268827,-0.3340131233097357
20260513T015949_457294/20260513-1,28,9,17,0.07444177013674377,0.8361728199098051,0.35610540613828184
20260506T171147_164642/20260506-01,28,5,9,0.07574077453602798,0.855276777562095,0.05350764393899534
20260426T225022_763309/20260426-01,88,11,41,0.07786744777902464,0.12749640422703967,-0.19054396757262382
20260506T052611_677366/20260506-01,6,5,1,0.07827665175013426,1.9439985304769702,1.2639515031309723
20260503T122116_783419/20260502-01,53,11,19,0.08003136129086959,0.22479013625652663,-0.0460375771028837
20260503T193239_130238/20260502-01,44,9,18,0.08081119301112162,0.15524722905672123,-0.15496890806472613
20260514T210324_101794/20260515-1,21,5,15,0.08107386497693962,0.035668964288950986,-0.5101118281703899
