n,c,no_suffix_guard_or_skip,safe_0504_first_neh,cp_seeded_first_neh,delayed_profile_first_neh,retained_cp_sequence_first_neh,interleaved_pw_neh_basin,active_total,type_total
40,5,2,3,3,1,1,0,8,10
40,10,1,1,3,2,2,1,9,10
40,15,0,0,2,3,4,1,10,10
40,20,0,1,5,0,2,2,10,10
80,5,10,0,0,0,0,0,0,10
80,10,0,2,3,1,3,1,10,10
80,15,1,3,1,3,2,0,9,10
80,20,0,0,1,4,4,1,10,10
120,5,10,0,0,0,0,0,0,10
120,10,6,0,4,0,0,0,4,10
120,15,0,0,0,6,2,2,10,10
120,20,0,1,1,5,2,1,10,10
160,5,10,0,0,0,0,0,0,10
160,10,9,0,0,0,1,0,1,10
160,15,0,3,1,3,1,2,10,10
160,20,0,3,2,1,2,2,10,10
200,5,10,0,0,0,0,0,0,10
200,10,9,0,0,0,0,1,1,10
200,15,6,1,0,2,0,1,4,10
200,20,0,4,2,1,2,1,10,10
240,5,10,0,0,0,0,0,0,10
240,10,9,0,0,1,0,0,1,10
240,15,10,0,0,0,0,0,0,10
240,20,0,6,3,1,0,0,10,10
