ins,selected_lane,step_idx,step_count,step_label,obj,elapsed,n,c
3,retained_cp_sequence_first_neh,1,6,neh_cp:safe_neh15,1519.0,13.946,40,15
3,retained_cp_sequence_first_neh,2,6,neh_cp:safe_neh20,1519.0,9.175,40,15
3,retained_cp_sequence_first_neh,3,6,neh_cp:safe_neh25,1495.0,12.354,40,15
3,retained_cp_sequence_first_neh,4,6,neh_cp:safe_neh30,1495.0,15.198,40,15
3,retained_cp_sequence_first_neh,5,6,incremental_pw_cp:safe_pw005,1495.0,7.397,40,15
3,retained_cp_sequence_first_neh,6,6,incremental_pw_cp:safe_pw010,1495.0,8.569,40,15
3,retained_cp_sequence_first_neh,0,6,PROBE_WINNER,1519.0,102.4149645799771,40,15
4,interleaved_pw_neh_basin,1,8,incremental_pw_cp:interleave_pw005_after_neh10,1952.0,10.374,40,20
4,interleaved_pw_neh_basin,2,8,neh_cp:safe_neh15,1948.0,18.507,40,20
4,interleaved_pw_neh_basin,3,8,incremental_pw_cp:interleave_pw006_after_neh15,1939.0,18.303,40,20
4,interleaved_pw_neh_basin,4,8,neh_cp:safe_neh20,1939.0,12.265,40,20
4,interleaved_pw_neh_basin,5,8,incremental_pw_cp:interleave_pw008_after_neh20,1937.0,32.324,40,20
4,interleaved_pw_neh_basin,6,8,neh_cp:safe_neh25,1937.0,20.343,40,20
4,interleaved_pw_neh_basin,7,8,neh_cp:safe_neh30,1937.0,20.342,40,20
4,interleaved_pw_neh_basin,8,8,incremental_pw_cp:safe_pw010,1935.0,39.946,40,20
4,interleaved_pw_neh_basin,0,8,PROBE_WINNER,1954.0,121.52952528512105,40,20
6,retained_cp_sequence_first_neh,1,6,neh_cp:safe_neh15,2227.0,36.843,80,10
6,retained_cp_sequence_first_neh,2,6,neh_cp:safe_neh20,2211.0,24.629,80,10
6,retained_cp_sequence_first_neh,3,6,neh_cp:safe_neh25,2211.0,40.637,80,10
6,retained_cp_sequence_first_neh,4,6,neh_cp:safe_neh30,2211.0,30.427,80,10
6,retained_cp_sequence_first_neh,5,6,incremental_pw_cp:safe_pw005,2206.0,49.469,80,10
6,retained_cp_sequence_first_neh,6,6,incremental_pw_cp:safe_pw010,2206.0,28.931,80,10
6,retained_cp_sequence_first_neh,0,6,PROBE_WINNER,2234.0,259.7376594240777,80,10
7,delayed_profile_first_neh,1,6,neh_cp:safe_neh15,2336.0,49.656,80,15
7,delayed_profile_first_neh,2,6,neh_cp:safe_neh20,2336.0,36.932,80,15
7,delayed_profile_first_neh,3,6,neh_cp:safe_neh25,2333.0,61.406,80,15
7,delayed_profile_first_neh,4,6,neh_cp:safe_neh30,2333.0,45.701,80,15
7,delayed_profile_first_neh,5,6,incremental_pw_cp:safe_pw005,2333.0,0.001,80,15
7,delayed_profile_first_neh,6,6,incremental_pw_cp:safe_pw010,2333.0,0.001,80,15
7,delayed_profile_first_neh,0,6,PROBE_WINNER,2336.0,380.0982516645454,80,15
8,delayed_profile_first_neh,1,6,neh_cp:safe_neh15,2416.0,66.632,80,20
8,delayed_profile_first_neh,2,6,neh_cp:safe_neh20,2416.0,49.514,80,20
8,delayed_profile_first_neh,3,6,neh_cp:safe_neh25,2416.0,81.576,80,20
8,delayed_profile_first_neh,4,6,neh_cp:safe_neh30,2416.0,61.133,80,20
8,delayed_profile_first_neh,5,6,incremental_pw_cp:safe_pw005,2402.0,243.359,80,20
8,delayed_profile_first_neh,6,6,incremental_pw_cp:safe_pw010,2401.0,68.44,80,20
