insName,jobCount,stageCount,best_prefix_obj,first_best_source,last_best_source,strict_last_improvement_source,init_dispatch,tau,post_dispatch1,post_dispatch2
3,40,15,1541.0,tau,post_dispatch2,tau,1568.0,1541.0,1541.0,1541.0
4,40,20,1979.0,post_dispatch1,post_dispatch2,post_dispatch1,2072.0,1980.0,1979.0,1979.0
28,40,20,1956.0,tau,post_dispatch2,tau,2040.0,1956.0,1956.0,1956.0
51,40,15,1656.0,tau,post_dispatch2,tau,1734.0,1656.0,1656.0,1656.0
35,120,15,3433.0,post_dispatch2,post_dispatch2,post_dispatch2,3552.0,3475.0,3474.0,3433.0
11,120,15,3356.0,post_dispatch2,post_dispatch2,post_dispatch2,3460.0,3415.0,3366.0,3356.0
54,80,10,1893.0,post_dispatch1,post_dispatch2,post_dispatch1,1915.0,1894.0,1893.0,1893.0
73,40,5,855.0,post_dispatch1,post_dispatch2,post_dispatch1,884.0,865.0,855.0,855.0
36,120,20,3671.0,tau,post_dispatch2,tau,3710.0,3671.0,3671.0,3671.0
16,160,20,4591.0,post_dispatch2,post_dispatch2,post_dispatch2,4642.0,4607.0,4607.0,4591.0
39,160,15,4223.0,post_dispatch2,post_dispatch2,post_dispatch2,4286.0,4274.0,4244.0,4223.0
76,40,20,1612.0,tau,post_dispatch2,tau,1708.0,1612.0,1612.0,1612.0
56,80,20,2821.0,post_dispatch1,post_dispatch2,post_dispatch1,2928.0,2826.0,2821.0,2821.0
78,80,10,1695.0,post_dispatch1,post_dispatch2,post_dispatch1,1746.0,1697.0,1695.0,1695.0
98,40,10,1349.0,post_dispatch1,post_dispatch2,post_dispatch1,1402.0,1351.0,1349.0,1349.0
99,40,15,1362.0,post_dispatch1,post_dispatch2,post_dispatch1,1413.0,1363.0,1362.0,1362.0
100,40,20,1680.0,post_dispatch1,post_dispatch2,post_dispatch1,1726.0,1683.0,1680.0,1680.0
84,120,20,3759.0,post_dispatch2,post_dispatch2,post_dispatch2,3780.0,3780.0,3764.0,3759.0
87,160,15,4320.0,post_dispatch2,post_dispatch2,post_dispatch2,4344.0,4338.0,4338.0,4320.0
103,80,15,2169.0,tau,post_dispatch2,tau,2242.0,2169.0,2169.0,2169.0
68,200,20,5455.0,init_dispatch,post_dispatch2,init_dispatch,5455.0,5455.0,5455.0,5455.0
107,120,15,3412.0,post_dispatch1,post_dispatch2,post_dispatch1,3446.0,3430.0,3412.0,3412.0
123,40,15,1269.0,tau,post_dispatch2,tau,1331.0,1269.0,1269.0,1269.0
108,120,20,3798.0,post_dispatch1,post_dispatch2,post_dispatch1,3828.0,3802.0,3798.0,3798.0
111,160,15,3618.0,post_dispatch2,post_dispatch2,post_dispatch2,3675.0,3661.0,3645.0,3618.0
96,240,20,6223.0,post_dispatch1,post_dispatch2,post_dispatch1,6284.0,6283.0,6223.0,6223.0
131,120,15,3382.0,post_dispatch2,post_dispatch2,post_dispatch2,3453.0,3407.0,3396.0,3382.0
135,160,15,3548.0,post_dispatch2,post_dispatch2,post_dispatch2,3573.0,3567.0,3550.0,3548.0
152,80,20,2498.0,post_dispatch1,post_dispatch2,post_dispatch1,2579.0,2502.0,2498.0,2498.0
120,240,20,6369.0,post_dispatch2,post_dispatch2,post_dispatch2,6401.0,6382.0,6382.0,6369.0
