stage,baseline,count,mean_stage_obj,mean_base_obj,mean_delta_obj,median_delta_obj,win,tie,loss,mean_pair_rpdf_pct,median_pair_rpdf_pct
init_dispatch,0504_final_dispatch_available,217.0,3695.9308755760367,3673.811059907834,22.119815668202765,13.0,11.0,13.0,193.0,0.7984104209202274,0.43851635300566416
init_dispatch,0504_final_dispatch_or_final,240.0,3785.295833333333,3765.1833333333334,20.1125,9.0,11.0,26.0,203.0,0.7246552523678429,0.3159731336232451
init_dispatch,0504_final_best,240.0,3785.295833333333,3713.795833333333,71.5,49.0,0.0,16.0,224.0,2.6602010608892033,2.121301115099463
tau,0504_final_dispatch_available,217.0,3672.5069124423962,3673.811059907834,-1.304147465437788,1.0,88.0,17.0,112.0,-0.292842681980149,0.016859141869678834
tau,0504_final_dispatch_or_final,240.0,3764.079166666667,3765.1833333333334,-1.1041666666666667,1.0,88.0,30.0,122.0,-0.2628177369367155,0.016063024699130377
tau,0504_final_best,240.0,3764.079166666667,3713.795833333333,50.28333333333333,22.0,2.0,18.0,220.0,1.6732238656629648,1.38739818512601
repair,0504_final_dispatch_available,217.0,3671.7834101382487,3673.811059907834,-2.0276497695852536,1.0,90.0,17.0,110.0,-0.32609286089033557,0.015584820384945063
repair,0504_final_dispatch_or_final,240.0,3763.4041666666667,3765.1833333333334,-1.7791666666666666,0.0,90.0,32.0,118.0,-0.2935430515100651,0.0
repair,0504_final_best,240.0,3763.4041666666667,3713.795833333333,49.608333333333334,19.5,2.0,21.0,217.0,1.64250324048854,1.3736768017818792
cp_lb1,0504_final_dispatch_available,217.0,3671.221198156682,3673.811059907834,-2.589861751152074,0.0,99.0,27.0,91.0,-0.3684891458360876,0.0
cp_lb1,0504_final_dispatch_or_final,240.0,3762.866666666667,3765.1833333333334,-2.316666666666667,0.0,99.0,46.0,95.0,-0.3326495070299256,0.0
cp_lb1,0504_final_best,240.0,3762.866666666667,3713.795833333333,49.07083333333333,17.5,3.0,44.0,193.0,1.6033973905552699,1.094269734433854
post_dispatch1,0504_final_dispatch_available,217.0,3664.5529953917053,3673.811059907834,-9.258064516129032,-2.0,123.0,33.0,61.0,-0.533034223175276,-0.05181347150259067
post_dispatch1,0504_final_dispatch_or_final,240.0,3756.8166666666666,3765.1833333333334,-8.366666666666667,-1.0,123.0,55.0,62.0,-0.48184790874161104,-0.01670297512207277
post_dispatch1,0504_final_best,240.0,3756.8166666666666,3713.795833333333,43.020833333333336,14.0,3.0,54.0,183.0,1.4542335242167548,0.9210128578854829
cp_lb2,0504_final_dispatch_available,217.0,3664.47465437788,3673.811059907834,-9.336405529953916,-2.0,125.0,32.0,60.0,-0.5401628585702744,-0.054600054600054605
cp_lb2,0504_final_dispatch_or_final,240.0,3756.7458333333334,3765.1833333333334,-8.4375,-1.0,125.0,54.0,61.0,-0.48829338324458876,-0.017955708967476953
cp_lb2,0504_final_best,240.0,3756.7458333333334,3713.795833333333,42.95,13.5,3.0,55.0,182.0,1.4477877677261792,0.8209415997140295
post_dispatch2,0504_final_dispatch_available,217.0,3659.4055299539173,3673.811059907834,-14.40552995391705,-5.0,139.0,33.0,45.0,-0.6639041980411277,-0.14336917562724014
post_dispatch2,0504_final_dispatch_or_final,240.0,3752.1625,3765.1833333333334,-13.020833333333334,-2.0,139.0,55.0,46.0,-0.6001761776828186,-0.055778288076297824
post_dispatch2,0504_final_best,240.0,3752.1625,3713.795833333333,38.36666666666667,12.0,5.0,57.0,178.0,1.335923879404007,0.6775420662090451
final,0504_final_dispatch_available,217.0,3613.4976958525344,3673.811059907834,-60.31336405529954,-52.0,182.0,29.0,6.0,-2.2258122120539943,-1.7583120204603582
final,0504_final_dispatch_or_final,240.0,3710.6541666666667,3765.1833333333334,-54.52916666666667,-27.0,182.0,51.0,7.0,-2.0124013403527856,-1.2670917037571674
final,0504_final_best,240.0,3710.6541666666667,3713.795833333333,-3.1416666666666666,0.0,82.0,84.0,74.0,-0.07653346280663696,0.0
