jobCount,stageCount,count,mean_init_dispatch,mean_tau,mean_repair,mean_cp_lb1,mean_post_dispatch1,mean_cp_lb2,mean_post_dispatch2,mean_final,mean_0504_final_dispatch_or_final,mean_0504_final,tau_minus_init,tau_rpdf_vs_init,tau_minus_D_post_dispatch2,tau_rpdf_vs_D_post_dispatch2,tau_minus_0504_dispatch_or_final,tau_rpdf_vs_0504_dispatch_or_final,tau_minus_0504_final,tau_rpdf_vs_0504_final
40,5,10,945.8,920.5,920.3,913.4,913.4,912.1,912.1,907.5,920.4,908.2,-25.3,-2.7023634725627925,8.4,0.9372558371148868,0.1,0.008806677457239528,12.3,1.3513155990669545
40,10,10,1328.7,1285.7,1284.8,1284.8,1284.0,1284.0,1283.9,1254.9,1307.7,1255.1,-43.0,-3.2833287380253267,1.8,0.1369560201846064,-22.0,-1.7164500623034105,30.6,2.410889811480278
40,15,10,1565.8,1506.7,1505.7,1505.7,1505.7,1505.7,1505.7,1458.9,1546.5,1457.1,-59.1,-3.8070482378357235,1.0,0.06239352454536921,-39.8,-2.591585194734653,49.6,3.379899024355609
40,20,10,1968.4,1885.4,1882.5,1882.5,1882.5,1882.5,1882.5,1824.5,1950.1,1828.0,-83.0,-4.2678891376004415,2.9,0.16463452070228157,-64.7,-3.305981849992871,57.4,3.107830198046357
80,5,10,2040.8,2039.2,2038.7,2037.2,2037.2,2037.2,2037.2,2037.2,2037.4,2037.2,-1.6,-0.07560915974872412,2.0,0.09638370495105557,1.8,0.08640366503089589,2.0,0.09638370495105557
80,10,10,1954.1,1921.8,1920.7,1920.7,1914.0,1914.0,1909.4,1856.8,1928.9,1854.3,-32.3,-1.6712643533666403,12.4,0.6679957235235457,-7.1,-0.3826234440209574,67.5,3.554212098013008
80,15,10,2464.2,2420.2,2417.3,2417.3,2410.9,2410.9,2406.0,2337.0,2429.4,2344.9,-44.0,-1.7554708685515075,14.2,0.6058125727837051,-9.2,-0.3574141076815393,75.3,3.1755353423976933
80,20,10,2630.7,2570.2,2567.8,2567.8,2567.8,2567.8,2567.8,2494.2,2606.2,2485.6,-60.5,-2.28621115475101,2.4,0.09338172915042249,-36.0,-1.3653102701762032,84.6,3.3546805351554796
120,5,10,2953.4,2952.5,2952.5,2951.8,2951.8,2951.6,2951.6,2951.4,2951.8,2950.9,-0.9,-0.031063057301185894,0.9,0.030613380739155545,0.7,0.023842646770153946,1.6,0.05496872546912072
120,10,10,3172.9,3168.4,3166.8,3166.8,3159.5,3159.5,3159.0,3149.8,3163.8,3144.3,-4.5,-0.13849913603960204,9.4,0.2995845315036313,4.6,0.15180518842227497,24.1,0.7785223000173808
