jobCount,stageCount,type,n,mean_delta,median_delta,candidateD_better,equal,candidateD_worse
40,5,40x5,10,-1.0,0.0,4,4,2
40,10,40x10,10,-0.3,0.0,4,2,4
40,15,40x15,10,1.8,4.0,3,1,6
40,20,40x20,10,-3.5,-4.0,6,0,4
80,5,80x5,10,0.0,0.0,0,10,0
80,10,80x10,10,2.5,1.5,5,0,5
80,15,80x15,10,-8.6,-4.5,6,2,2
80,20,80x20,10,8.6,2.0,4,0,6
120,5,120x5,10,-0.1,0.0,1,9,0
120,10,120x10,10,4.6,0.0,2,5,3
120,15,120x15,10,-21.3,-22.0,7,0,3
120,20,120x20,10,-10.9,-7.5,6,0,4
160,5,160x5,10,0.0,0.0,0,10,0
160,10,160x10,10,0.0,0.0,0,10,0
160,15,160x15,10,-21.6,-19.5,8,0,2
160,20,160x20,10,4.6,2.0,5,0,5
200,5,200x5,10,-0.2,0.0,2,8,0
200,10,200x10,10,-0.3,0.0,2,6,2
200,15,200x15,10,-1.8,-1.0,6,2,2
200,20,200x20,10,-5.3,1.0,5,0,5
240,5,240x5,10,0.0,0.0,0,10,0
240,10,240x10,10,-1.1,0.0,2,8,0
240,15,240x15,10,0.0,0.0,0,10,0
240,20,240x20,10,-26.4,-26.0,7,0,3
