_key,count,mean,median,max,neg,zero,pos,gt01,root,scenario,path
20260504T184555_707193/20260504-01@all,240,0.0924442981531759,0.0,2.051161145821054,51,95,94,74,20260504T184555_707193,20260504-01,Outputs_scenarios/20260504T184555_707193/all_scenarios_summary.csv
20260504T184555_707193/20260504-01@multi,240,0.0924442981531759,0.0,2.051161145821054,51,95,94,74,20260504T184555_707193,20260504-01,Outputs_scenarios/20260504T184555_707193/ff2020/20260504-01/multi_instance_summary.csv
20260510T025423_238291/20260510-01@all,240,0.12036794999540135,0.0,2.794891059353869,56,95,89,68,20260510T025423_238291,20260510-01,Outputs_scenarios/20260510T025423_238291/all_scenarios_summary.csv
20260510T025423_238291/20260510-01@multi,240,0.12036794999540135,0.0,2.794891059353869,56,95,89,68,20260510T025423_238291,20260510-01,Outputs_scenarios/20260510T025423_238291/ff2020/20260510-01/multi_instance_summary.csv
20260501T034519_627934/20260429-2@all,240,0.12280565166445294,0.0,2.4175824175824174,57,98,85,71,20260501T034519_627934,20260429-2,Outputs_scenarios/20260501T034519_627934/all_scenarios_summary.csv
20260501T034519_627934/20260429-2@multi,240,0.12280565166445294,0.0,2.4175824175824174,57,98,85,71,20260501T034519_627934,20260429-2,Outputs_scenarios/20260501T034519_627934/ff2020/20260429-2/multi_instance_summary.csv
20260429T155141_962595/20260429-1@all,240,0.14501792549970058,0.0,2.676289279807548,55,95,90,68,20260429T155141_962595,20260429-1,Outputs_scenarios/20260429T155141_962595/all_scenarios_summary.csv
20260429T155141_962595/20260429-1@multi,240,0.14501792549970058,0.0,2.676289279807548,55,95,90,68,20260429T155141_962595,20260429-1,Outputs_scenarios/20260429T155141_962595/ff2020/20260429-1/multi_instance_summary.csv
20260427T232937_696372/20260427-1@all,240,0.15107514019570192,0.0,3.321622484829128,53,94,93,73,20260427T232937_696372,20260427-1,Outputs_scenarios/20260427T232937_696372/all_scenarios_summary.csv
20260427T232937_696372/20260427-1@multi,240,0.15107514019570192,0.0,3.321622484829128,53,94,93,73,20260427T232937_696372,20260427-1,Outputs_scenarios/20260427T232937_696372/ff2020/20260427-1/multi_instance_summary.csv
20260411T101357_046173/20260410-02@all,240,0.36766125286848894,0.017421253464599905,3.7972791149648675,30,89,121,103,20260411T101357_046173,20260410-02,Outputs_scenarios/20260411T101357_046173/all_scenarios_summary.csv
