n,s,Instance,as_is_filename,id,to_be_filename
40,5,1,instancia_40_5_1.txt,1,1.txt
40,10,1,instancia_40_10_1.txt,2,2.txt
40,15,1,instancia_40_15_1.txt,3,3.txt
40,20,1,instancia_40_20_1.txt,4,4.txt
80,5,1,instancia_80_5_1.txt,5,5.txt
80,10,1,instancia_80_10_1.txt,6,6.txt
80,15,1,instancia_80_15_1.txt,7,7.txt
80,20,1,instancia_80_20_1.txt,8,8.txt
120,5,1,instancia_120_5_1.txt,9,9.txt
120,10,1,instancia_120_10_1.txt,10,10.txt
120,15,1,instancia_120_15_1.txt,11,11.txt
120,20,1,instancia_120_20_1.txt,12,12.txt
160,5,1,instancia_160_5_1.txt,13,13.txt
160,10,1,instancia_160_10_1.txt,14,14.txt
160,15,1,instancia_160_15_1.txt,15,15.txt
160,20,1,instancia_160_20_1.txt,16,16.txt
200,5,1,instancia_200_5_1.txt,17,17.txt
200,10,1,instancia_200_10_1.txt,18,18.txt
200,15,1,instancia_200_15_1.txt,19,19.txt
200,20,1,instancia_200_20_1.txt,20,20.txt
240,5,1,instancia_240_5_1.txt,21,21.txt
240,10,1,instancia_240_10_1.txt,22,22.txt
240,15,1,instancia_240_15_1.txt,23,23.txt
240,20,1,instancia_240_20_1.txt,24,24.txt
40,5,2,instancia_40_5_2.txt,25,25.txt
40,10,2,instancia_40_10_2.txt,26,26.txt
40,15,2,instancia_40_15_2.txt,27,27.txt
40,20,2,instancia_40_20_2.txt,28,28.txt
80,5,2,instancia_80_5_2.txt,29,29.txt
80,10,2,instancia_80_10_2.txt,30,30.txt
80,15,2,instancia_80_15_2.txt,31,31.txt
80,20,2,instancia_80_20_2.txt,32,32.txt
120,5,2,instancia_120_5_2.txt,33,33.txt
120,10,2,instancia_120_10_2.txt,34,34.txt
120,15,2,instancia_120_15_2.txt,35,35.txt
120,20,2,instancia_120_20_2.txt,36,36.txt
160,5,2,instancia_160_5_2.txt,37,37.txt
160,10,2,instancia_160_10_2.txt,38,38.txt
160,15,2,instancia_160_15_2.txt,39,39.txt
