Problem,SolverVendor,Formulation,Instance,n,c,LB,UB,Gap,ActualTime
Hybridflowshop,CPLEX,CP,1,40,5,976,976,0,2.593
Hybridflowshop,CPLEX,CP,2,40,10,1292,1292,0,1.024
Hybridflowshop,CPLEX,CP,3,40,15,1483,1501,0.01214,1200.033
Hybridflowshop,CPLEX,CP,4,40,20,1722,1977,0.14808,1600.06
Hybridflowshop,CPLEX,CP,5,80,5,1974,1974,0,1.179
Hybridflowshop,CPLEX,CP,6,80,10,2085,2288,0.09736,1600.054
Hybridflowshop,CPLEX,CP,7,80,15,2333,2336,0.00129,2400.095
Hybridflowshop,CPLEX,CP,8,80,20,2238,2455,0.09696,3200.127
Hybridflowshop,CPLEX,CP,9,120,5,2818,2818,0,9.982
Hybridflowshop,CPLEX,CP,10,120,10,3118,3127,0.00289,2400.125
Hybridflowshop,CPLEX,CP,11,120,15,3103,3421,0.10248,3600.184
Hybridflowshop,CPLEX,CP,12,120,20,3628,3669,0.0113,4800.105
Hybridflowshop,CPLEX,CP,13,160,5,4141,4141,0,5.877
Hybridflowshop,CPLEX,CP,14,160,10,4265,4270,0.00117,3200.087
Hybridflowshop,CPLEX,CP,15,160,15,4001,4379,0.09448,4800.127
Hybridflowshop,CPLEX,CP,16,160,20,4202,4701,0.11875,6400.152
Hybridflowshop,CPLEX,CP,17,200,5,5020,5020,0,206.369
Hybridflowshop,CPLEX,CP,18,200,10,5532,5540,0.00145,4000.093
Hybridflowshop,CPLEX,CP,19,200,15,5157,5175,0.00349,6000.16
Hybridflowshop,CPLEX,CP,20,200,20,5588,5673,0.01521,8000.215
Hybridflowshop,CPLEX,CP,21,240,5,6346,6346,0,54.052
Hybridflowshop,CPLEX,CP,22,240,10,6229,6244,0.00241,4800.143
Hybridflowshop,CPLEX,CP,23,240,15,6506,6506,0,1844.666
Hybridflowshop,CPLEX,CP,24,240,20,5727,6432,0.1231,9600.212
Hybridflowshop,CPLEX,CP,25,40,5,978,978,0,0.456
Hybridflowshop,CPLEX,CP,26,40,10,1293,1293,0,356.158
Hybridflowshop,CPLEX,CP,27,40,15,1515,1568,0.03498,1200.052
Hybridflowshop,CPLEX,CP,28,40,20,1662,1913,0.15102,1600.051
Hybridflowshop,CPLEX,CP,29,80,5,2098,2098,0,2.126
Hybridflowshop,CPLEX,CP,30,80,10,1983,2140,0.07917,1600.056
Hybridflowshop,CPLEX,CP,31,80,15,2328,2328,0,1437.478
Hybridflowshop,CPLEX,CP,32,80,20,2444,2514,0.02864,3200.141
Hybridflowshop,CPLEX,CP,33,120,5,3051,3051,0,3.742
Hybridflowshop,CPLEX,CP,34,120,10,2943,2953,0.0034,2400.113
Hybridflowshop,CPLEX,CP,35,120,15,3049,3432,0.12561,3600.151
Hybridflowshop,CPLEX,CP,36,120,20,3312,3711,0.12047,4800.131
Hybridflowshop,CPLEX,CP,37,160,5,3941,3941,0,29.226
Hybridflowshop,CPLEX,CP,38,160,10,3897,3899,0.00051,3200.064
Hybridflowshop,CPLEX,CP,39,160,15,3913,4292,0.09686,4800.118
Hybridflowshop,CPLEX,CP,40,160,20,3466,3829,0.10473,6400.156
Hybridflowshop,CPLEX,CP,41,200,5,5010,5010,0,66.794
Hybridflowshop,CPLEX,CP,42,200,10,4939,4943,0.00081,4000.085
Hybridflowshop,CPLEX,CP,43,200,15,5251,5268,0.00324,6000.123
Hybridflowshop,CPLEX,CP,44,200,20,5115,5633,0.10127,8000.218
Hybridflowshop,CPLEX,CP,45,240,5,5964,5964,0,5.11
Hybridflowshop,CPLEX,CP,46,240,10,6094,6096,0.00033,4800.128
Hybridflowshop,CPLEX,CP,47,240,15,6425,6425,0,4559.543
Hybridflowshop,CPLEX,CP,48,240,20,4880,5380,0.10246,9600.219
Hybridflowshop,CPLEX,CP,49,40,5,863,875,0.0139,400.05
Hybridflowshop,CPLEX,CP,50,40,10,1176,1184,0.0068,800.036
Hybridflowshop,CPLEX,CP,51,40,15,1474,1644,0.11533,1200.045
Hybridflowshop,CPLEX,CP,52,40,20,1414,1666,0.17822,1600.057
Hybridflowshop,CPLEX,CP,53,80,5,2071,2071,0,1.502
Hybridflowshop,CPLEX,CP,54,80,10,1768,1837,0.03903,1600.065
Hybridflowshop,CPLEX,CP,55,80,15,2373,2545,0.07248,2400.098
Hybridflowshop,CPLEX,CP,56,80,20,2458,2785,0.13303,3200.129
Hybridflowshop,CPLEX,CP,57,120,5,2932,2932,0,4.096
Hybridflowshop,CPLEX,CP,58,120,10,3134,3134,0,75.639
Hybridflowshop,CPLEX,CP,59,120,15,2564,2835,0.10569,3600.172
Hybridflowshop,CPLEX,CP,60,120,20,3310,3664,0.10695,4800.13
Hybridflowshop,CPLEX,CP,61,160,5,4365,4365,0,21.541
Hybridflowshop,CPLEX,CP,62,160,10,4583,4583,0,53.459
Hybridflowshop,CPLEX,CP,63,160,15,3892,4309,0.10714,4800.11
Hybridflowshop,CPLEX,CP,64,160,20,3530,4023,0.13966,6400.156
Hybridflowshop,CPLEX,CP,65,200,5,4868,4868,0,89.282
Hybridflowshop,CPLEX,CP,66,200,10,5094,5095,0.0002,4000.093
Hybridflowshop,CPLEX,CP,67,200,15,5230,5269,0.00746,6000.142
Hybridflowshop,CPLEX,CP,68,200,20,5111,5515,0.07905,8000.226
Hybridflowshop,CPLEX,CP,69,240,5,6078,6078,0,37.804
Hybridflowshop,CPLEX,CP,70,240,10,6479,6482,0.00046,4800.112
Hybridflowshop,CPLEX,CP,71,240,15,6026,6032,0.001,7200.197
Hybridflowshop,CPLEX,CP,72,240,20,4776,5291,0.10783,9600.274
Hybridflowshop,CPLEX,CP,73,40,5,840,850,0.0119,400.057
Hybridflowshop,CPLEX,CP,74,40,10,1198,1278,0.06678,800.039
Hybridflowshop,CPLEX,CP,75,40,15,1257,1407,0.11933,1200.057
Hybridflowshop,CPLEX,CP,76,40,20,1400,1643,0.17357,1600.056
Hybridflowshop,CPLEX,CP,77,80,5,1898,1898,0,0.504
Hybridflowshop,CPLEX,CP,78,80,10,1621,1715,0.05799,1600.075
Hybridflowshop,CPLEX,CP,79,80,15,2407,2583,0.07312,2400.099
Hybridflowshop,CPLEX,CP,80,80,20,2641,2894,0.0958,3200.132
Hybridflowshop,CPLEX,CP,81,120,5,3195,3195,0,50.068
Hybridflowshop,CPLEX,CP,82,120,10,3196,3196,0,1733.102
Hybridflowshop,CPLEX,CP,83,120,15,2570,2925,0.13813,3600.154
Hybridflowshop,CPLEX,CP,84,120,20,3321,3889,0.17103,4800.113
Hybridflowshop,CPLEX,CP,85,160,5,3938,3938,0,2.555
Hybridflowshop,CPLEX,CP,86,160,10,4153,4162,0.00217,3200.068
Hybridflowshop,CPLEX,CP,87,160,15,4094,4314,0.05374,4800.128
Hybridflowshop,CPLEX,CP,88,160,20,3411,3832,0.12342,6400.167
Hybridflowshop,CPLEX,CP,89,200,5,5146,5146,0,101.855
Hybridflowshop,CPLEX,CP,90,200,10,5228,5229,0.00019,4000.107
Hybridflowshop,CPLEX,CP,91,200,15,5235,5249,0.00267,6000.172
Hybridflowshop,CPLEX,CP,92,200,20,4101,4555,0.1107,8000.243
Hybridflowshop,CPLEX,CP,93,240,5,6127,6127,0,24.924
Hybridflowshop,CPLEX,CP,94,240,10,6139,6140,0.00016,4800.125
Hybridflowshop,CPLEX,CP,95,240,15,6631,6632,0.00015,7200.169
Hybridflowshop,CPLEX,CP,96,240,20,5943,6548,0.1018,9600.281
Hybridflowshop,CPLEX,CP,97,40,5,765,765,0,1.715
Hybridflowshop,CPLEX,CP,98,40,10,1261,1307,0.03648,800.033
Hybridflowshop,CPLEX,CP,99,40,15,1187,1339,0.12805,1200.041
Hybridflowshop,CPLEX,CP,100,40,20,1426,1645,0.15358,1600.06
Hybridflowshop,CPLEX,CP,101,80,5,2164,2164,0,3.485
Hybridflowshop,CPLEX,CP,102,80,10,1624,1734,0.06773,1600.056
Hybridflowshop,CPLEX,CP,103,80,15,1910,2123,0.11152,2400.096
Hybridflowshop,CPLEX,CP,104,80,20,2218,2452,0.1055,3200.127
Hybridflowshop,CPLEX,CP,105,120,5,2889,2889,0,19.14
Hybridflowshop,CPLEX,CP,106,120,10,3235,3236,0.00031,2400.119
Hybridflowshop,CPLEX,CP,107,120,15,3083,3430,0.11255,3600.2
Hybridflowshop,CPLEX,CP,108,120,20,3289,3813,0.15932,4800.15
Hybridflowshop,CPLEX,CP,109,160,5,4071,4071,0,11.707
Hybridflowshop,CPLEX,CP,110,160,10,4170,4180,0.0024,3200.083
Hybridflowshop,CPLEX,CP,111,160,15,3384,3648,0.07801,4800.11
Hybridflowshop,CPLEX,CP,112,160,20,3477,3924,0.12856,6400.176
Hybridflowshop,CPLEX,CP,113,200,5,4996,4996,0,7.705
Hybridflowshop,CPLEX,CP,114,200,10,5468,5470,0.00037,4000.096
Hybridflowshop,CPLEX,CP,115,200,15,5174,5178,0.00077,6000.15
Hybridflowshop,CPLEX,CP,116,200,20,4181,4654,0.11313,8000.226
Hybridflowshop,CPLEX,CP,117,240,5,6319,6319,0,9.605
Hybridflowshop,CPLEX,CP,118,240,10,6180,6184,0.00065,4800.125
Hybridflowshop,CPLEX,CP,119,240,15,6413,6456,0.00671,7200.18
Hybridflowshop,CPLEX,CP,120,240,20,5779,6436,0.11369,9600.241
Hybridflowshop,CPLEX,CP,121,40,5,881,887,0.00681,400.049
Hybridflowshop,CPLEX,CP,122,40,10,1271,1306,0.02754,800.029
Hybridflowshop,CPLEX,CP,123,40,15,1112,1237,0.11241,1200.034
Hybridflowshop,CPLEX,CP,124,40,20,1808,1984,0.09735,1600.045
Hybridflowshop,CPLEX,CP,125,80,5,2103,2103,0,1.058
Hybridflowshop,CPLEX,CP,126,80,10,1765,1880,0.06516,1600.068
Hybridflowshop,CPLEX,CP,127,80,15,1961,2079,0.06017,2400.096
Hybridflowshop,CPLEX,CP,128,80,20,2175,2477,0.13885,3200.095
Hybridflowshop,CPLEX,CP,129,120,5,2874,2874,0,13.92
