Instance,n,s,rep,UB,LB
1,40,5,1,976,976
2,40,10,1,1292,1292
3,40,15,1,1486,1483
4,40,20,1,1943,1722
5,80,5,1,1974,1974
6,80,10,1,2161,2085
7,80,15,1,2333,2333
8,80,20,1,2393,2238
9,120,5,1,2818,2818
10,120,10,1,3124,3118
11,120,15,1,3286,3103
12,120,20,1,3637,3628
13,160,5,1,4141,4141
14,160,10,1,4270,4265
15,160,15,1,4157,4001
16,160,20,1,4499,4202
17,200,5,1,5020,5020
18,200,10,1,5534,5532
19,200,15,1,5175,5157
20,200,20,1,5601,5588
21,240,5,1,6346,6346
22,240,10,1,6234,6229
23,240,15,1,6506,6506
24,240,20,1,6151,5727
25,40,5,2,978,978
26,40,10,2,1297,1293
27,40,15,2,1579,1515
28,40,20,2,1927,1662
29,80,5,2,2098,2098
30,80,10,2,2050,1983
31,80,15,2,2328,2328
32,80,20,2,2452,2444
33,120,5,2,3051,3051
34,120,10,2,2953,2943
35,120,15,2,3281,3049
36,120,20,2,3572,3312
37,160,5,2,3941,3941
38,160,10,2,3899,3897
39,160,15,2,4092,3913
40,160,20,2,3716,3466
41,200,5,2,5010,5010
42,200,10,2,4943,4939
43,200,15,2,5253,5251
44,200,20,2,5409,5115
45,240,5,2,5964,5964
46,240,10,2,6096,6094
47,240,15,2,6425,6425
48,240,20,2,5160,4880
49,40,5,3,876,863
50,40,10,3,1184,1176
51,40,15,3,1634,1474
52,40,20,3,1589,1414
53,80,5,3,2071,2071
54,80,10,3,1798,1768
55,80,15,3,2468,2373
56,80,20,3,2789,2458
57,120,5,3,2932,2932
58,120,10,3,3134,3134
59,120,15,3,2687,2564
60,120,20,3,3612,3310
61,160,5,3,4365,4365
62,160,10,3,4583,4583
63,160,15,3,4074,3892
64,160,20,3,3891,3530
65,200,5,3,4868,4868
66,200,10,3,5095,5094
67,200,15,3,5239,5230
68,200,20,3,5313,5111
69,240,5,3,6078,6078
70,240,10,3,6490,6479
71,240,15,3,6029,6026
72,240,20,3,5083,4776
73,40,5,4,854,840
74,40,10,4,1275,1198
75,40,15,4,1387,1257
76,40,20,4,1611,1400
77,80,5,4,1898,1898
78,80,10,4,1657,1621
79,80,15,4,2566,2407
80,80,20,4,2853,2641
81,120,5,4,3195,3195
82,120,10,4,3196,3196
83,120,15,4,2763,2570
84,120,20,4,3654,3321
85,160,5,4,3938,3938
86,160,10,4,4155,4153
87,160,15,4,4198,4094
88,160,20,4,3711,3411
89,200,5,4,5146,5146
90,200,10,4,5229,5228
91,200,15,4,5236,5235
92,200,20,4,4401,4101
93,240,5,4,6127,6127
94,240,10,4,6140,6139
95,240,15,4,6632,6631
96,240,20,4,6183,5943
97,40,5,5,765,765
98,40,10,5,1316,1261
99,40,15,5,1329,1187
100,40,20,5,1639,1426
101,80,5,5,2164,2164
102,80,10,5,1663,1624
103,80,15,5,2088,1910
104,80,20,5,2358,2218
105,120,5,5,2889,2889
106,120,10,5,3236,3235
107,120,15,5,3285,3083
108,120,20,5,3646,3289
