n,s,Instance,as_is_filename,id,to_be_filename
10,5,1,instancia_10_5_1.txt,1,1.txt
10,10,1,instancia_10_10_1.txt,2,2.txt
10,15,1,instancia_10_15_1.txt,3,3.txt
10,20,1,instancia_10_20_1.txt,4,4.txt
15,5,1,instancia_15_5_1.txt,5,5.txt
15,10,1,instancia_15_10_1.txt,6,6.txt
15,15,1,instancia_15_15_1.txt,7,7.txt
15,20,1,instancia_15_20_1.txt,8,8.txt
20,5,1,instancia_20_5_1.txt,9,9.txt
20,10,1,instancia_20_10_1.txt,10,10.txt
20,15,1,instancia_20_15_1.txt,11,11.txt
20,20,1,instancia_20_20_1.txt,12,12.txt
25,5,1,instancia_25_5_1.txt,13,13.txt
25,10,1,instancia_25_10_1.txt,14,14.txt
25,15,1,instancia_25_15_1.txt,15,15.txt
25,20,1,instancia_25_20_1.txt,16,16.txt
30,5,1,instancia_30_5_1.txt,17,17.txt
30,10,1,instancia_30_10_1.txt,18,18.txt
30,15,1,instancia_30_15_1.txt,19,19.txt
30,20,1,instancia_30_20_1.txt,20,20.txt
35,5,1,instancia_35_5_1.txt,21,21.txt
35,10,1,instancia_35_10_1.txt,22,22.txt
35,15,1,instancia_35_15_1.txt,23,23.txt
35,20,1,instancia_35_20_1.txt,24,24.txt
10,5,2,instancia_10_5_2.txt,25,25.txt
10,10,2,instancia_10_10_2.txt,26,26.txt
10,15,2,instancia_10_15_2.txt,27,27.txt
10,20,2,instancia_10_20_2.txt,28,28.txt
15,5,2,instancia_15_5_2.txt,29,29.txt
15,10,2,instancia_15_10_2.txt,30,30.txt
15,15,2,instancia_15_15_2.txt,31,31.txt
15,20,2,instancia_15_20_2.txt,32,32.txt
20,5,2,instancia_20_5_2.txt,33,33.txt
20,10,2,instancia_20_10_2.txt,34,34.txt
20,15,2,instancia_20_15_2.txt,35,35.txt
20,20,2,instancia_20_20_2.txt,36,36.txt
25,5,2,instancia_25_5_2.txt,37,37.txt
25,10,2,instancia_25_10_2.txt,38,38.txt
25,15,2,instancia_25_15_2.txt,39,39.txt
25,20,2,instancia_25_20_2.txt,40,40.txt
30,5,2,instancia_30_5_2.txt,41,41.txt
30,10,2,instancia_30_10_2.txt,42,42.txt
30,15,2,instancia_30_15_2.txt,43,43.txt
30,20,2,instancia_30_20_2.txt,44,44.txt
35,5,2,instancia_35_5_2.txt,45,45.txt
35,10,2,instancia_35_10_2.txt,46,46.txt
35,15,2,instancia_35_15_2.txt,47,47.txt
35,20,2,instancia_35_20_2.txt,48,48.txt
10,5,3,instancia_10_5_3.txt,49,49.txt
10,10,3,instancia_10_10_3.txt,50,50.txt
10,15,3,instancia_10_15_3.txt,51,51.txt
10,20,3,instancia_10_20_3.txt,52,52.txt
15,5,3,instancia_15_5_3.txt,53,53.txt
15,10,3,instancia_15_10_3.txt,54,54.txt
15,15,3,instancia_15_15_3.txt,55,55.txt
15,20,3,instancia_15_20_3.txt,56,56.txt
20,5,3,instancia_20_5_3.txt,57,57.txt
20,10,3,instancia_20_10_3.txt,58,58.txt
20,15,3,instancia_20_15_3.txt,59,59.txt
20,20,3,instancia_20_20_3.txt,60,60.txt
25,5,3,instancia_25_5_3.txt,61,61.txt
25,10,3,instancia_25_10_3.txt,62,62.txt
25,15,3,instancia_25_15_3.txt,63,63.txt
25,20,3,instancia_25_20_3.txt,64,64.txt
30,5,3,instancia_30_5_3.txt,65,65.txt
30,10,3,instancia_30_10_3.txt,66,66.txt
30,15,3,instancia_30_15_3.txt,67,67.txt
30,20,3,instancia_30_20_3.txt,68,68.txt
35,5,3,instancia_35_5_3.txt,69,69.txt
35,10,3,instancia_35_10_3.txt,70,70.txt
35,15,3,instancia_35_15_3.txt,71,71.txt
35,20,3,instancia_35_20_3.txt,72,72.txt
10,5,4,instancia_10_5_4.txt,73,73.txt
10,10,4,instancia_10_10_4.txt,74,74.txt
10,15,4,instancia_10_15_4.txt,75,75.txt
10,20,4,instancia_10_20_4.txt,76,76.txt
15,5,4,instancia_15_5_4.txt,77,77.txt
15,10,4,instancia_15_10_4.txt,78,78.txt
15,15,4,instancia_15_15_4.txt,79,79.txt
15,20,4,instancia_15_20_4.txt,80,80.txt
20,5,4,instancia_20_5_4.txt,81,81.txt
20,10,4,instancia_20_10_4.txt,82,82.txt
20,15,4,instancia_20_15_4.txt,83,83.txt
20,20,4,instancia_20_20_4.txt,84,84.txt
25,5,4,instancia_25_5_4.txt,85,85.txt
25,10,4,instancia_25_10_4.txt,86,86.txt
25,15,4,instancia_25_15_4.txt,87,87.txt
25,20,4,instancia_25_20_4.txt,88,88.txt
30,5,4,instancia_30_5_4.txt,89,89.txt
30,10,4,instancia_30_10_4.txt,90,90.txt
30,15,4,instancia_30_15_4.txt,91,91.txt
30,20,4,instancia_30_20_4.txt,92,92.txt
35,5,4,instancia_35_5_4.txt,93,93.txt
35,10,4,instancia_35_10_4.txt,94,94.txt
35,15,4,instancia_35_15_4.txt,95,95.txt
35,20,4,instancia_35_20_4.txt,96,96.txt
10,5,5,instancia_10_5_5.txt,97,97.txt
10,10,5,instancia_10_10_5.txt,98,98.txt
10,15,5,instancia_10_15_5.txt,99,99.txt
10,20,5,instancia_10_20_5.txt,100,100.txt
15,5,5,instancia_15_5_5.txt,101,101.txt
15,10,5,instancia_15_10_5.txt,102,102.txt
15,15,5,instancia_15_15_5.txt,103,103.txt
15,20,5,instancia_15_20_5.txt,104,104.txt
20,5,5,instancia_20_5_5.txt,105,105.txt
20,10,5,instancia_20_10_5.txt,106,106.txt
20,15,5,instancia_20_15_5.txt,107,107.txt
20,20,5,instancia_20_20_5.txt,108,108.txt
25,5,5,instancia_25_5_5.txt,109,109.txt
