Problem,SolverVendor,Formulation,Instance,n,m,LB,UB,Gap,ActualTime
Hybridflowshop,CPLEX,CP,1,10,5,1,410,0,2.593
Hybridflowshop,CPLEX,CP,2,10,10,1,806,0,1.024
Hybridflowshop,CPLEX,CP,3,10,15,1,959,0.01214,1200.033
Hybridflowshop,CPLEX,CP,4,10,20,1,1353,0.14808,1600.06
Hybridflowshop,CPLEX,CP,5,15,5,1,486,0,1.179
Hybridflowshop,CPLEX,CP,6,15,10,1,757,0.09736,1600.054
Hybridflowshop,CPLEX,CP,7,15,15,1,1029,0.00129,2400.095
Hybridflowshop,CPLEX,CP,8,15,20,1,1264,0.09696,3200.127
Hybridflowshop,CPLEX,CP,9,20,5,1,660,0,9.982
Hybridflowshop,CPLEX,CP,10,20,10,1,797,0.00289,2400.125
Hybridflowshop,CPLEX,CP,11,20,15,1,1067,0.10248,3600.184
Hybridflowshop,CPLEX,CP,12,20,20,1,1332,0.0113,4800.105
Hybridflowshop,CPLEX,CP,13,25,5,1,774,0,5.877
Hybridflowshop,CPLEX,CP,14,25,10,1,862,0.00117,3200.087
Hybridflowshop,CPLEX,CP,15,25,15,1,1205,0.09448,4800.127
Hybridflowshop,CPLEX,CP,16,25,20,1,1449,0.11875,6400.152
Hybridflowshop,CPLEX,CP,17,30,5,1,649,0,206.369
Hybridflowshop,CPLEX,CP,18,30,10,1,1057,0.00145,4000.093
Hybridflowshop,CPLEX,CP,19,30,15,1,1205,0.00349,6000.16
Hybridflowshop,CPLEX,CP,20,30,20,1,1488,0.01521,8000.215
Hybridflowshop,CPLEX,CP,21,35,5,1,1080,0,54.052
Hybridflowshop,CPLEX,CP,22,35,10,1,1085,0.00241,4800.143
Hybridflowshop,CPLEX,CP,23,35,15,1,1372,0,1844.666
Hybridflowshop,CPLEX,CP,24,35,20,1,1569,0.1231,9600.212
Hybridflowshop,CPLEX,CP,25,10,5,1,394,0,0.456
Hybridflowshop,CPLEX,CP,26,10,10,1,785,0,356.158
Hybridflowshop,CPLEX,CP,27,10,15,1,1290,0.03498,1200.052
Hybridflowshop,CPLEX,CP,28,10,20,1,1156,0.15102,1600.051
Hybridflowshop,CPLEX,CP,29,15,5,1,423,0,2.126
Hybridflowshop,CPLEX,CP,30,15,10,1,704,0.07917,1600.056
Hybridflowshop,CPLEX,CP,31,15,15,1,1059,0,1437.478
Hybridflowshop,CPLEX,CP,32,15,20,1,1564,0.02864,3200.141
Hybridflowshop,CPLEX,CP,33,20,5,1,587,0,3.742
Hybridflowshop,CPLEX,CP,34,20,10,1,844,0.0034,2400.113
Hybridflowshop,CPLEX,CP,35,20,15,1,1333,0.12561,3600.151
Hybridflowshop,CPLEX,CP,36,20,20,1,1325,0.12047,4800.131
Hybridflowshop,CPLEX,CP,37,25,5,1,696,0,29.226
Hybridflowshop,CPLEX,CP,38,25,10,1,974,0.00051,3200.064
Hybridflowshop,CPLEX,CP,39,25,15,1,1143,0.09686,4800.118
Hybridflowshop,CPLEX,CP,40,25,20,1,1353,0.10473,6400.156
Hybridflowshop,CPLEX,CP,41,30,5,1,789,0,66.794
Hybridflowshop,CPLEX,CP,42,30,10,1,930,0.00081,4000.085
Hybridflowshop,CPLEX,CP,43,30,15,1,1271,0.00324,6000.123
Hybridflowshop,CPLEX,CP,44,30,20,1,1598,0.10127,8000.218
Hybridflowshop,CPLEX,CP,45,35,5,1,1074,0,5.11
Hybridflowshop,CPLEX,CP,46,35,10,1,1247,0.00033,4800.128
Hybridflowshop,CPLEX,CP,47,35,15,1,1352,0,4559.543
Hybridflowshop,CPLEX,CP,48,35,20,1,1701,0.10246,9600.219
Hybridflowshop,CPLEX,CP,49,10,5,1,453,0.0139,400.05
Hybridflowshop,CPLEX,CP,50,10,10,1,755,0.0068,800.036
Hybridflowshop,CPLEX,CP,51,10,15,1,1091,0.11533,1200.045
Hybridflowshop,CPLEX,CP,52,10,20,1,1503,0.17822,1600.057
Hybridflowshop,CPLEX,CP,53,15,5,1,504,0,1.502
Hybridflowshop,CPLEX,CP,54,15,10,1,853,0.03903,1600.065
Hybridflowshop,CPLEX,CP,55,15,15,1,1151,0.07248,2400.098
Hybridflowshop,CPLEX,CP,56,15,20,1,1213,0.13303,3200.129
Hybridflowshop,CPLEX,CP,57,20,5,1,559,0,4.096
Hybridflowshop,CPLEX,CP,58,20,10,1,858,0,75.639
Hybridflowshop,CPLEX,CP,59,20,15,1,1295,0.10569,3600.172
Hybridflowshop,CPLEX,CP,60,20,20,1,1324,0.10695,4800.13
Hybridflowshop,CPLEX,CP,61,25,5,1,707,0,21.541
Hybridflowshop,CPLEX,CP,62,25,10,1,911,0,53.459
Hybridflowshop,CPLEX,CP,63,25,15,1,1222,0.10714,4800.11
Hybridflowshop,CPLEX,CP,64,25,20,1,1430,0.13966,6400.156
Hybridflowshop,CPLEX,CP,65,30,5,1,793,0,89.282
Hybridflowshop,CPLEX,CP,66,30,10,1,1126,0.0002,4000.093
Hybridflowshop,CPLEX,CP,67,30,15,1,1209,0.00746,6000.142
Hybridflowshop,CPLEX,CP,68,30,20,1,1572,0.07905,8000.226
Hybridflowshop,CPLEX,CP,69,35,5,1,888,0,37.804
Hybridflowshop,CPLEX,CP,70,35,10,1,1061,0.00046,4800.112
Hybridflowshop,CPLEX,CP,71,35,15,1,1599,0.001,7200.197
Hybridflowshop,CPLEX,CP,72,35,20,1,1572,0.10783,9600.274
Hybridflowshop,CPLEX,CP,73,10,5,1,452,0.0119,400.057
Hybridflowshop,CPLEX,CP,74,10,10,1,922,0.06678,800.039
Hybridflowshop,CPLEX,CP,75,10,15,1,875,0.11933,1200.057
Hybridflowshop,CPLEX,CP,76,10,20,1,1483,0.17357,1600.056
Hybridflowshop,CPLEX,CP,77,15,5,1,440,0,0.504
Hybridflowshop,CPLEX,CP,78,15,10,1,886,0.05799,1600.075
Hybridflowshop,CPLEX,CP,79,15,15,1,1173,0.07312,2400.099
Hybridflowshop,CPLEX,CP,80,15,20,1,1557,0.0958,3200.132
Hybridflowshop,CPLEX,CP,81,20,5,1,552,0,50.068
Hybridflowshop,CPLEX,CP,82,20,10,1,1015,0,1733.102
Hybridflowshop,CPLEX,CP,83,20,15,1,1031,0.13813,3600.154
Hybridflowshop,CPLEX,CP,84,20,20,1,1580,0.17103,4800.113
Hybridflowshop,CPLEX,CP,85,25,5,1,790,0,2.555
Hybridflowshop,CPLEX,CP,86,25,10,1,994,0.00217,3200.068
Hybridflowshop,CPLEX,CP,87,25,15,1,1354,0.05374,4800.128
Hybridflowshop,CPLEX,CP,88,25,20,1,1410,0.12342,6400.167
Hybridflowshop,CPLEX,CP,89,30,5,1,680,0,101.855
Hybridflowshop,CPLEX,CP,90,30,10,1,1095,0.00019,4000.107
Hybridflowshop,CPLEX,CP,91,30,15,1,1530,0.00267,6000.172
Hybridflowshop,CPLEX,CP,92,30,20,1,1544,0.1107,8000.243
Hybridflowshop,CPLEX,CP,93,35,5,1,863,0,24.924
Hybridflowshop,CPLEX,CP,94,35,10,1,1092,0.00016,4800.125
Hybridflowshop,CPLEX,CP,95,35,15,1,1539,0.00015,7200.169
Hybridflowshop,CPLEX,CP,96,35,20,1,1912,0.1018,9600.281
Hybridflowshop,CPLEX,CP,97,10,5,1,389,0,1.715
Hybridflowshop,CPLEX,CP,98,10,10,1,969,0.03648,800.033
Hybridflowshop,CPLEX,CP,99,10,15,1,883,0.12805,1200.041
Hybridflowshop,CPLEX,CP,100,10,20,1,1505,0.15358,1600.06
Hybridflowshop,CPLEX,CP,101,15,5,1,420,0,3.485
Hybridflowshop,CPLEX,CP,102,15,10,1,1087,0.06773,1600.056
Hybridflowshop,CPLEX,CP,103,15,15,1,1190,0.11152,2400.096
Hybridflowshop,CPLEX,CP,104,15,20,1,1558,0.1055,3200.127
Hybridflowshop,CPLEX,CP,105,20,5,1,526,0,19.14
Hybridflowshop,CPLEX,CP,106,20,10,1,973,0.00031,2400.119
Hybridflowshop,CPLEX,CP,107,20,15,1,1015,0.11255,3600.2
Hybridflowshop,CPLEX,CP,108,20,20,1,1320,0.15932,4800.15
Hybridflowshop,CPLEX,CP,109,25,5,1,603,0,11.707
Hybridflowshop,CPLEX,CP,110,25,10,1,942,0.0024,3200.083
Hybridflowshop,CPLEX,CP,111,25,15,1,1350,0.07801,4800.11
Hybridflowshop,CPLEX,CP,112,25,20,1,1407,0.12856,6400.176
Hybridflowshop,CPLEX,CP,113,30,5,1,698,0,7.705
Hybridflowshop,CPLEX,CP,114,30,10,1,944,0.00037,4000.096
Hybridflowshop,CPLEX,CP,115,30,15,1,1138,0.00077,6000.15
Hybridflowshop,CPLEX,CP,116,30,20,1,1626,0.11313,8000.226
Hybridflowshop,CPLEX,CP,117,35,5,1,887,0,9.605
Hybridflowshop,CPLEX,CP,118,35,10,1,1268,0.00065,4800.125
Hybridflowshop,CPLEX,CP,119,35,15,1,1247,0.00671,7200.18
Hybridflowshop,CPLEX,CP,120,35,20,1,1856,0.11369,9600.241
Hybridflowshop,CPLEX,CP,121,10,5,1,360,0.00681,400.049
Hybridflowshop,CPLEX,CP,122,10,10,1,1001,0.02754,800.029
Hybridflowshop,CPLEX,CP,123,10,15,1,843,0.11241,1200.034
Hybridflowshop,CPLEX,CP,124,10,20,1,1309,0.09735,1600.045
Hybridflowshop,CPLEX,CP,125,15,5,1,414,0,1.058
Hybridflowshop,CPLEX,CP,126,15,10,1,1042,0.06516,1600.068
Hybridflowshop,CPLEX,CP,127,15,15,1,1168,0.06017,2400.096
Hybridflowshop,CPLEX,CP,128,15,20,1,1692,0.13885,3200.095
Hybridflowshop,CPLEX,CP,129,20,5,1,513,0,13.92
Hybridflowshop,CPLEX,CP,130,20,10,1,796,0,91.385
Hybridflowshop,CPLEX,CP,131,20,15,1,1277,0.1119,3600.212
Hybridflowshop,CPLEX,CP,132,20,20,1,1284,0.17888,4800.116
Hybridflowshop,CPLEX,CP,133,25,5,1,704,0,47.887
