Instance,LB,UB
0,28,28
1,0,1023
2,0,916
3,0,1023
4,0,1057
5,0,1093
6,0,931
7,0,1025
8,0,1124
9,0,981
10,0,979
11,0,992
12,0,1038
13,0,1000
14,0,1026
15,0,1010
16,0,1079
17,0,1038
18,0,1055
19,0,941
20,0,1104
21,0,1021
22,0,1075
23,0,1023
24,0,1005
25,0,1068
26,0,1050
27,0,1102
28,0,1088
29,0,919
30,0,1018
31,0,1089
32,0,991
33,0,1013
34,0,1028
35,0,1088
36,0,1069
37,0,1072
38,0,1035
39,0,967
40,0,1077
41,0,1002
42,0,1038
43,0,1065
44,0,1012
45,0,1006
46,0,994
47,0,1060
48,0,1095
49,0,1109
50,0,1104
51,0,1054
52,0,1003
53,0,1104
54,0,1077
55,0,1038
56,0,952
57,0,964
58,0,1129
59,0,1097
60,0,1091
61,0,1079
62,0,1042
63,0,1003
64,0,1040
65,0,937
66,0,1018
67,0,1027
68,0,998
69,0,1018
70,0,1024
71,0,1056
72,0,1087
73,0,1004
74,0,1015
75,0,995
76,0,1034
77,0,976
78,0,1064
79,0,1035
80,0,1049
81,0,1085
82,0,1139
83,0,970
84,0,1011
85,0,1045
86,0,997
87,0,986
88,0,1025
89,0,1127
90,0,1024
91,0,752
92,0,693
93,0,620
94,0,695
95,0,664
96,0,729
97,0,698
98,0,680
99,0,647
100,0,645
101,0,736
102,0,635
