Problem,SolverVendor,Formulation,Instance,n,m,LB,UB,Gap,ActualTime
Hybridflowshop,CPLEX,CP,1,50,5,952,960,0.0084,3600.041
Hybridflowshop,CPLEX,CP,2,50,5,910,910,0,2.078
Hybridflowshop,CPLEX,CP,3,50,5,963,963,0,1554.435
Hybridflowshop,CPLEX,CP,4,50,5,998,1004,0.00601,3600.035
Hybridflowshop,CPLEX,CP,5,50,5,993,993,0,842.607
Hybridflowshop,CPLEX,CP,6,50,5,924,925,0.00108,3600.041
Hybridflowshop,CPLEX,CP,7,50,5,963,975,0.01246,3600.041
Hybridflowshop,CPLEX,CP,8,50,5,1080,1085,0.00463,3600.047
Hybridflowshop,CPLEX,CP,9,50,5,946,947,0.00106,3600.041
Hybridflowshop,CPLEX,CP,10,50,5,977,978,0.00102,3600.039
Hybridflowshop,CPLEX,CP,11,50,5,943,944,0.00106,3600.043
Hybridflowshop,CPLEX,CP,12,50,5,1000,1000,0,35.193
Hybridflowshop,CPLEX,CP,13,50,5,921,934,0.01412,3600.036
Hybridflowshop,CPLEX,CP,14,50,5,1016,1016,0,1822.778
Hybridflowshop,CPLEX,CP,15,50,5,981,981,0,520.841
Hybridflowshop,CPLEX,CP,16,50,5,1068,1068,0,15.752
Hybridflowshop,CPLEX,CP,17,50,5,981,981,0,715.695
Hybridflowshop,CPLEX,CP,18,50,5,971,986,0.01545,3600.042
Hybridflowshop,CPLEX,CP,19,50,5,884,888,0.00452,3600.039
Hybridflowshop,CPLEX,CP,20,50,5,1060,1062,0.00189,3600.05
Hybridflowshop,CPLEX,CP,21,50,5,974,974,0,453.075
Hybridflowshop,CPLEX,CP,22,50,5,1024,1027,0.00293,3600.037
Hybridflowshop,CPLEX,CP,23,50,5,1005,1005,0,29.961
Hybridflowshop,CPLEX,CP,24,50,5,963,972,0.00935,3600.035
Hybridflowshop,CPLEX,CP,25,50,5,982,982,0,270.039
Hybridflowshop,CPLEX,CP,26,50,5,1001,1001,0,88.188
Hybridflowshop,CPLEX,CP,27,50,5,1050,1057,0.00667,3600.033
Hybridflowshop,CPLEX,CP,28,50,5,1065,1065,0,10.158
Hybridflowshop,CPLEX,CP,29,50,5,880,880,0,2149.503
Hybridflowshop,CPLEX,CP,30,50,5,934,950,0.01713,3600.04
Hybridflowshop,CPLEX,CP,31,50,5,1068,1068,0,479.407
Hybridflowshop,CPLEX,CP,32,50,5,970,970,0,152.295
Hybridflowshop,CPLEX,CP,33,50,5,997,997,0,89.311
Hybridflowshop,CPLEX,CP,34,50,5,986,986,0,5.056
Hybridflowshop,CPLEX,CP,35,50,5,1020,1020,0,1417.037
Hybridflowshop,CPLEX,CP,36,50,5,1058,1058,0,61.771
Hybridflowshop,CPLEX,CP,37,50,5,1040,1048,0.00769,3600.04
Hybridflowshop,CPLEX,CP,38,50,5,959,974,0.01564,3600.041
Hybridflowshop,CPLEX,CP,39,50,5,905,906,0.0011,3600.038
Hybridflowshop,CPLEX,CP,40,50,5,1029,1033,0.00389,3600.041
Hybridflowshop,CPLEX,CP,41,50,5,961,961,0,465.771
Hybridflowshop,CPLEX,CP,42,50,5,1003,1003,0,420.259
Hybridflowshop,CPLEX,CP,43,50,5,1032,1032,0,166.582
Hybridflowshop,CPLEX,CP,44,50,5,981,981,0,196.02
Hybridflowshop,CPLEX,CP,45,50,5,992,992,0,25.226
Hybridflowshop,CPLEX,CP,46,50,5,960,960,0,192.142
Hybridflowshop,CPLEX,CP,47,50,5,1011,1013,0.00198,3600.037
Hybridflowshop,CPLEX,CP,48,50,5,1062,1062,0,28.605
Hybridflowshop,CPLEX,CP,49,50,5,1024,1040,0.01562,3600.036
Hybridflowshop,CPLEX,CP,50,50,5,1004,1004,0,2837.719
Hybridflowshop,CPLEX,CP,51,50,5,977,977,0,1.345
Hybridflowshop,CPLEX,CP,52,50,5,975,975,0,25.518
Hybridflowshop,CPLEX,CP,53,50,5,1090,1090,0,197.379
Hybridflowshop,CPLEX,CP,54,50,5,1035,1038,0.0029,3600.03
Hybridflowshop,CPLEX,CP,55,50,5,998,1004,0.00601,3600.037
Hybridflowshop,CPLEX,CP,56,50,5,936,936,0,115.498
Hybridflowshop,CPLEX,CP,57,50,5,918,922,0.00436,3600.041
Hybridflowshop,CPLEX,CP,58,50,5,1069,1070,0.00094,3600.042
Hybridflowshop,CPLEX,CP,59,50,5,1072,1072,0,85.491
Hybridflowshop,CPLEX,CP,60,50,5,1045,1045,0,754.46
Hybridflowshop,CPLEX,CP,61,50,5,1026,1028,0.00195,3600.039
Hybridflowshop,CPLEX,CP,62,50,5,988,995,0.00709,3600.038
Hybridflowshop,CPLEX,CP,63,50,5,980,980,0,59.277
Hybridflowshop,CPLEX,CP,64,50,5,1023,1023,0,1.756
Hybridflowshop,CPLEX,CP,65,50,5,914,914,0,7.131
Hybridflowshop,CPLEX,CP,66,50,5,922,948,0.0282,3600.037
