Problem,SolverVendor,Formulation,Instance,n,m,LB,UB,Gap,ActualTime
Hybridflowshop,CPLEX,CP,1,50,5,952,963,0.01155,600.028
Hybridflowshop,CPLEX,CP,2,50,5,910,910,0,2.335
Hybridflowshop,CPLEX,CP,3,50,5,963,964,0.00104,600.023
Hybridflowshop,CPLEX,CP,4,50,5,998,1004,0.00601,600.027
Hybridflowshop,CPLEX,CP,5,50,5,993,994,0.00101,600.02
Hybridflowshop,CPLEX,CP,6,50,5,924,925,0.00108,600.025
Hybridflowshop,CPLEX,CP,7,50,5,963,981,0.01869,600.021
Hybridflowshop,CPLEX,CP,8,50,5,1080,1085,0.00463,600.028
Hybridflowshop,CPLEX,CP,9,50,5,946,947,0.00106,600.026
Hybridflowshop,CPLEX,CP,10,50,5,977,978,0.00102,600.022
Hybridflowshop,CPLEX,CP,11,50,5,943,946,0.00318,600.023
Hybridflowshop,CPLEX,CP,12,50,5,1000,1000,0,39.735
Hybridflowshop,CPLEX,CP,13,50,5,921,934,0.01412,600.022
Hybridflowshop,CPLEX,CP,14,50,5,1016,1021,0.00492,600.026
Hybridflowshop,CPLEX,CP,15,50,5,981,981,0,586.269
Hybridflowshop,CPLEX,CP,16,50,5,1068,1068,0,17.637
Hybridflowshop,CPLEX,CP,17,50,5,979,981,0.00204,600.021
Hybridflowshop,CPLEX,CP,18,50,5,971,995,0.02472,600.026
Hybridflowshop,CPLEX,CP,19,50,5,884,892,0.00905,600.032
Hybridflowshop,CPLEX,CP,20,50,5,1060,1062,0.00189,600.038
Hybridflowshop,CPLEX,CP,21,50,5,974,974,0,517.243
Hybridflowshop,CPLEX,CP,22,50,5,1024,1033,0.00879,600.02
Hybridflowshop,CPLEX,CP,23,50,5,1005,1005,0,33.385
Hybridflowshop,CPLEX,CP,24,50,5,963,972,0.00935,600.021
Hybridflowshop,CPLEX,CP,25,50,5,982,982,0,301.347
Hybridflowshop,CPLEX,CP,26,50,5,1001,1001,0,99.169
Hybridflowshop,CPLEX,CP,27,50,5,1050,1057,0.00667,600.018
Hybridflowshop,CPLEX,CP,28,50,5,1065,1065,0,11.267
Hybridflowshop,CPLEX,CP,29,50,5,880,882,0.00227,600.023
Hybridflowshop,CPLEX,CP,30,50,5,934,962,0.02998,600.026
Hybridflowshop,CPLEX,CP,31,50,5,1068,1068,0,534.573
Hybridflowshop,CPLEX,CP,32,50,5,970,970,0,173.362
Hybridflowshop,CPLEX,CP,33,50,5,997,997,0,99.071
Hybridflowshop,CPLEX,CP,34,50,5,986,986,0,5.643
Hybridflowshop,CPLEX,CP,35,50,5,1014,1026,0.01183,600.018
Hybridflowshop,CPLEX,CP,36,50,5,1058,1058,0,68.774
Hybridflowshop,CPLEX,CP,37,50,5,1040,1048,0.00769,600.02
Hybridflowshop,CPLEX,CP,38,50,5,959,980,0.0219,600.029
Hybridflowshop,CPLEX,CP,39,50,5,905,908,0.00331,600.021
Hybridflowshop,CPLEX,CP,40,50,5,1029,1033,0.00389,600.025
Hybridflowshop,CPLEX,CP,41,50,5,961,961,0,526.848
Hybridflowshop,CPLEX,CP,42,50,5,1003,1003,0,471.392
Hybridflowshop,CPLEX,CP,43,50,5,1032,1032,0,187.658
Hybridflowshop,CPLEX,CP,44,50,5,981,981,0,217.886
Hybridflowshop,CPLEX,CP,45,50,5,992,992,0,27.942
Hybridflowshop,CPLEX,CP,46,50,5,960,960,0,216.806
Hybridflowshop,CPLEX,CP,47,50,5,1011,1018,0.00692,600.025
Hybridflowshop,CPLEX,CP,48,50,5,1062,1062,0,31.745
Hybridflowshop,CPLEX,CP,49,50,5,1024,1041,0.0166,600.025
Hybridflowshop,CPLEX,CP,50,50,5,1002,1006,0.00399,600.03
Hybridflowshop,CPLEX,CP,51,50,5,977,977,0,1.483
Hybridflowshop,CPLEX,CP,52,50,5,975,975,0,28.913
Hybridflowshop,CPLEX,CP,53,50,5,1090,1090,0,218.569
Hybridflowshop,CPLEX,CP,54,50,5,1035,1038,0.0029,600.028
Hybridflowshop,CPLEX,CP,55,50,5,998,1004,0.00601,600.018
Hybridflowshop,CPLEX,CP,56,50,5,936,936,0,128.47
Hybridflowshop,CPLEX,CP,57,50,5,918,922,0.00436,600.029
Hybridflowshop,CPLEX,CP,58,50,5,1069,1070,0.00094,600.026
Hybridflowshop,CPLEX,CP,59,50,5,1072,1072,0,95.752
Hybridflowshop,CPLEX,CP,60,50,5,1044,1045,0.00096,600.026
Hybridflowshop,CPLEX,CP,61,50,5,1026,1041,0.01462,600.019
Hybridflowshop,CPLEX,CP,62,50,5,988,999,0.01113,600.028
Hybridflowshop,CPLEX,CP,63,50,5,980,980,0,67.175
Hybridflowshop,CPLEX,CP,64,50,5,1023,1023,0,1.927
Hybridflowshop,CPLEX,CP,65,50,5,914,914,0,8.056
Hybridflowshop,CPLEX,CP,66,50,5,922,954,0.03471,600.028
Hybridflowshop,CPLEX,CP,67,50,5,985,985,0,20.708
Hybridflowshop,CPLEX,CP,68,50,5,976,976,0,177.838
Hybridflowshop,CPLEX,CP,69,50,5,975,975,0,175.73
Hybridflowshop,CPLEX,CP,70,50,5,934,937,0.00321,600.02
Hybridflowshop,CPLEX,CP,71,50,5,1005,1008,0.00299,600.016
Hybridflowshop,CPLEX,CP,72,50,5,1032,1033,0.00097,600.029
Hybridflowshop,CPLEX,CP,73,50,5,928,937,0.0097,600.018
Hybridflowshop,CPLEX,CP,74,50,5,955,965,0.01047,600.018
Hybridflowshop,CPLEX,CP,75,50,5,929,929,0,328.447
Hybridflowshop,CPLEX,CP,76,50,5,978,995,0.01738,600.025
Hybridflowshop,CPLEX,CP,77,50,5,928,934,0.00647,600.02
Hybridflowshop,CPLEX,CP,78,50,5,1017,1022,0.00492,600.023
Hybridflowshop,CPLEX,CP,79,50,5,970,970,0,179.739
Hybridflowshop,CPLEX,CP,80,50,5,985,1003,0.01827,600.019
Hybridflowshop,CPLEX,CP,81,50,5,1039,1042,0.00289,600.018
Hybridflowshop,CPLEX,CP,82,50,5,1063,1075,0.01129,600.032
Hybridflowshop,CPLEX,CP,83,50,5,946,951,0.00529,600.024
Hybridflowshop,CPLEX,CP,84,50,5,918,933,0.01634,600.021
Hybridflowshop,CPLEX,CP,85,50,5,993,993,0,188.349
Hybridflowshop,CPLEX,CP,86,50,5,948,960,0.01266,600.054
Hybridflowshop,CPLEX,CP,87,50,5,933,935,0.00214,600.022
Hybridflowshop,CPLEX,CP,88,50,5,993,1006,0.01309,600.026
Hybridflowshop,CPLEX,CP,89,50,5,1122,1122,0,1.481
Hybridflowshop,CPLEX,CP,90,50,5,1006,1006,0,4.864
Hybridflowshop,CPLEX,CP,91,50,5,671,682,0.01639,600.024
Hybridflowshop,CPLEX,CP,92,50,5,615,646,0.05041,600.03
Hybridflowshop,CPLEX,CP,93,50,5,585,596,0.0188,600.024
Hybridflowshop,CPLEX,CP,94,50,5,613,644,0.05057,600.024
Hybridflowshop,CPLEX,CP,95,50,5,641,641,0,28.222
Hybridflowshop,CPLEX,CP,96,50,5,689,693,0.00581,600.023
Hybridflowshop,CPLEX,CP,97,50,5,641,651,0.0156,600.031
Hybridflowshop,CPLEX,CP,98,50,5,635,644,0.01417,600.026
Hybridflowshop,CPLEX,CP,99,50,5,595,608,0.02185,600.029
Hybridflowshop,CPLEX,CP,100,50,5,598,614,0.02676,600.031
Hybridflowshop,CPLEX,CP,101,50,5,663,676,0.01961,600.025
Hybridflowshop,CPLEX,CP,102,50,5,602,608,0.00997,600.02
Hybridflowshop,CPLEX,CP,103,50,5,627,648,0.03349,600.019
Hybridflowshop,CPLEX,CP,104,50,5,692,696,0.00578,600.028
Hybridflowshop,CPLEX,CP,105,50,5,670,685,0.02239,600.028
Hybridflowshop,CPLEX,CP,106,50,5,611,622,0.018,600.031
Hybridflowshop,CPLEX,CP,107,50,5,647,660,0.02009,600.028
Hybridflowshop,CPLEX,CP,108,50,5,630,643,0.02063,600.02
Hybridflowshop,CPLEX,CP,109,50,5,705,706,0.00142,600.025
Hybridflowshop,CPLEX,CP,110,50,5,594,618,0.0404,600.017
Hybridflowshop,CPLEX,CP,111,50,5,670,670,0,63.975
Hybridflowshop,CPLEX,CP,112,50,5,640,672,0.05,600.023
Hybridflowshop,CPLEX,CP,113,50,5,576,616,0.06944,600.019
Hybridflowshop,CPLEX,CP,114,50,5,609,639,0.04926,600.017
Hybridflowshop,CPLEX,CP,115,50,5,635,638,0.00472,600.019
Hybridflowshop,CPLEX,CP,116,50,5,626,637,0.01757,600.019
Hybridflowshop,CPLEX,CP,117,50,5,652,681,0.04448,600.017
