Problem,Method,Benchmark,Instance,n,m,LB,UB,Gap,ActualTime,BKS,RPD
Hybridflowshop,CPLEX_CP,Ruben,1,50,5,952,961,0.009365245,3600.089,955,0.628272251
Hybridflowshop,CPLEX_CP,Ruben,2,50,5,910,910,0,117.486,909,0.110011001
Hybridflowshop,CPLEX_CP,Ruben,3,50,5,963,963,0,1446.538,963,0
Hybridflowshop,CPLEX_CP,Ruben,4,50,5,998,1005,0.006965174,3600.103,1003,0.199401795
Hybridflowshop,CPLEX_CP,Ruben,5,50,5,993,995,0.00201005,3600.128,993,0.201409869
Hybridflowshop,CPLEX_CP,Ruben,6,50,5,924,925,0.001081081,3600.112,924,0.108225108
Hybridflowshop,CPLEX_CP,Ruben,7,50,5,963,976,0.013319672,3600.127,969,0.722394221
Hybridflowshop,CPLEX_CP,Ruben,8,50,5,1080,1085,0.004608295,3600.111,1080,0.462962963
Hybridflowshop,CPLEX_CP,Ruben,9,50,5,946,947,0.001055966,3600.104,946,0.105708245
Hybridflowshop,CPLEX_CP,Ruben,10,50,5,978,978,0,304.917,977,0.102354145
Hybridflowshop,CPLEX_CP,Ruben,11,50,5,943,945,0.002116402,3600.108,943,0.212089077
Hybridflowshop,CPLEX_CP,Ruben,12,50,5,1000,1000,0,45.179,995,0.502512563
Hybridflowshop,CPLEX_CP,Ruben,13,50,5,921,935,0.014973262,3600.622,929,0.645855759
Hybridflowshop,CPLEX_CP,Ruben,14,50,5,1016,1021,0.00489716,3600.155,1016,0.492125984
Hybridflowshop,CPLEX_CP,Ruben,15,50,5,973,981,0.008154944,3600.137,977,0.409416581
Hybridflowshop,CPLEX_CP,Ruben,16,50,5,1068,1068,0,46.745,1068,0
Hybridflowshop,CPLEX_CP,Ruben,17,50,5,981,981,0,1767.745,979,0.204290092
Hybridflowshop,CPLEX_CP,Ruben,18,50,5,971,990,0.019191919,3600.099,971,1.956745623
Hybridflowshop,CPLEX_CP,Ruben,19,50,5,884,892,0.00896861,3600.127,886,0.677200903
Hybridflowshop,CPLEX_CP,Ruben,20,50,5,1060,1062,0.001883239,3600.135,1060,0.188679245
Hybridflowshop,CPLEX_CP,Ruben,21,50,5,974,975,0.001025641,3600.131,974,0.102669405
Hybridflowshop,CPLEX_CP,Ruben,22,50,5,1024,1030,0.005825243,3600.107,1024,0.5859375
Hybridflowshop,CPLEX_CP,Ruben,23,50,5,1005,1005,0,122.882,1005,0
Hybridflowshop,CPLEX_CP,Ruben,24,50,5,963,972,0.009259259,3600.146,963,0.934579439
Hybridflowshop,CPLEX_CP,Ruben,25,50,5,982,982,0,730.056,981,0.101936799
Hybridflowshop,CPLEX_CP,Ruben,26,50,5,1001,1001,0,189.398,1001,0
Hybridflowshop,CPLEX_CP,Ruben,27,50,5,1050,1057,0.006622517,3600.119,1052,0.475285171
